province,city,area,population,lng,lat
山西省,运城市,平陆县,205080,111.193957,34.829595
山西省,运城市,芮城县,342889,110.694418,34.694173
山西省,运城市,永济市,394935,110.447771,34.866499
山西省,运城市,河津市,392561,110.712032,35.596357
山西省,忻州市,忻府区,577089,112.746357,38.403498
山西省,忻州市,定襄县,193997,112.957234,38.471725
山西省,忻州市,五台县,216178,113.255419,38.728056
山西省,忻州市,五台山风景名胜区,17050,113.504571,38.955788
山西省,忻州市,五台县（含五台山风景名胜区）,233228,113.255419,38.728056
山西省,忻州市,代县,178870,112.960102,39.066831
山西省,忻州市,繁峙县,250409,113.265464,39.188835
山西省,忻州市,宁武县,136470,112.304734,39.001498
山西省,忻州市,静乐县,119277,111.939498,38.359306
山西省,忻州市,神池县,75757,112.210997,39.091079
山西省,忻州市,五寨县,100220,111.846808,38.911110
山西省,忻州市,岢岚县,69324,111.572964,38.703989
山西省,忻州市,河曲县,123505,111.138247,39.384520
山西省,忻州市,保德县,144218,111.085944,39.022616
山西省,忻州市,偏关县,73382,111.508922,39.436917
山西省,忻州市,原平市,413922,112.711025,38.731412
山西省,临汾市,尧都区,959198,111.578797,36.082463
山西省,临汾市,曲沃县,216595,111.475783,35.641883
山西省,临汾市,翼城县,264181,111.719048,35.739706
山西省,临汾市,襄汾县,425553,111.441725,35.876293
山西省,临汾市,洪洞县,637812,111.675710,36.254087
山西省,临汾市,古县,79816,111.920310,36.266767
山西省,临汾市,安泽县,75574,112.250242,36.147921
山西省,临汾市,浮山县,98833,111.848883,35.968124
山西省,临汾市,吉县,87374,110.680513,36.096833
山西省,临汾市,乡宁县,206892,110.846585,35.970834
山西省,临汾市,大宁县,52166,110.752914,36.465126
山西省,临汾市,隰县,91394,110.940752,36.693345
山西省,临汾市,永和县,49946,110.631981,36.759524
山西省,临汾市,蒲县,95679,111.096457,36.411830
山西省,临汾市,汾西县,104627,111.563993,36.652833
山西省,临汾市,侯马市,257854,111.372002,35.619105
山西省,临汾市,霍州市,272987,111.755111,36.569046
山西省,吕梁市,离石区,456355,111.150325,37.517797
山西省,吕梁市,文水县,372580,112.028866,37.438101
山西省,吕梁市,交城县,226768,112.155857,37.551690
山西省,吕梁市,兴县,183484,111.127486,38.461818
山西省,吕梁市,临县,394713,110.992712,37.951008
山西省,吕梁市,柳林县,287969,110.888993,37.429816
山西省,吕梁市,石楼县,96808,110.834712,36.998461
山西省,吕梁市,岚县,148315,111.672156,38.279587
山西省,吕梁市,方山县,112692,111.244309,37.895017
山西省,吕梁市,中阳县,138498,111.178841,37.357816
山西省,吕梁市,交口县,95313,111.181241,36.982205
山西省,吕梁市,孝义市,477289,111.778935,37.146051
山西省,吕梁市,汾阳市,407647,111.770834,37.261493
内蒙古自治区,呼和浩特市,新城区,699672,111.665325,40.858271
内蒙古自治区,呼和浩特市,回民区,436042,111.623485,40.808906
内蒙古自治区,呼和浩特市,玉泉区,524573,111.674157,40.753054
内蒙古自治区,呼和浩特市,赛罕区,885321,111.701166,40.792508
内蒙古自治区,呼和浩特市,呼和浩特经济技术开发区,136150,111.756774,40.833734
内蒙古自治区,呼和浩特市,赛罕区（含呼和浩特经济技术开发区）,1021471,111.701166,40.792508
内蒙古自治区,呼和浩特市,土默特左旗,263131,111.163730,40.729044
内蒙古自治区,呼和浩特市,托克托县,166192,111.193879,40.277703
内蒙古自治区,呼和浩特市,和林格尔县,162476,111.821695,40.379226
内蒙古自治区,呼和浩特市,清水河县,76674,111.647351,39.921224
内蒙古自治区,呼和浩特市,武川县,95869,111.451226,41.096511
内蒙古自治区,包头市,东河区,484218,110.044008,40.576260
内蒙古自治区,包头市,昆都仑区,787681,109.840249,40.658075
内蒙古自治区,包头市,青山区,535128,109.902157,40.644081
内蒙古自治区,包头市,石拐区,24745,110.060783,40.676736
内蒙古自治区,包头市,白云鄂博矿区,22681,109.973195,41.769956
内蒙古自治区,包头市,九原区,245190,109.968082,40.611346
内蒙古自治区,包头市,包头稀土高新技术产业开发区,184127,109.841071,40.632600
内蒙古自治区,包头市,九原区（含包头稀土高新技术产业开发区）,429317,109.968082,40.611346
内蒙古自治区,包头市,土默特右旗,237421,110.527831,40.578253
内蒙古自治区,包头市,固阳县,118624,110.060055,41.034757
内蒙古自治区,包头市,达尔罕茂明安联合旗,69563,110.432626,41.698992
内蒙古自治区,乌海市,海勃湾区,339155,106.822800,39.690873
内蒙古自治区,乌海市,海南区,94770,106.891472,39.441803
内蒙古自治区,乌海市,乌达区,122696,106.726043,39.505609
内蒙古自治区,赤峰市,红山区,469079,118.953989,42.296317
内蒙古自治区,赤峰市,元宝山区,284990,119.288475,42.039602
内蒙古自治区,赤峰市,松山区,706312,118.916156,42.299795
内蒙古自治区,赤峰市,阿鲁科尔沁旗,240360,120.065533,43.872398
内蒙古自治区,赤峰市,巴林左旗,277522,119.362832,43.961547
内蒙古自治区,赤峰市,巴林右旗,155027,118.664235,43.534171
内蒙古自治区,赤峰市,林西县,186663,118.055450,43.618120
内蒙古自治区,赤峰市,克什克腾旗,186143,117.545413,43.265057
内蒙古自治区,赤峰市,翁牛特旗,333970,119.006187,42.936529
内蒙古自治区,赤峰市,喀喇沁旗,262792,118.701934,41.927103
内蒙古自治区,赤峰市,宁城县,484397,119.320056,41.600193
内蒙古自治区,赤峰市,敖汉旗,448712,119.921413,42.290731
内蒙古自治区,通辽市,科尔沁区,718665,122.255450,43.623133
内蒙古自治区,通辽市,通辽经济技术开发区,203143,122.249084,43.651831
内蒙古自治区,通辽市,科尔沁区（含通辽经济技术开发区）,921808,122.255450,43.623133
内蒙古自治区,通辽市,科尔沁左翼中旗,399631,123.312202,44.126606
内蒙古自治区,通辽市,科尔沁左翼后旗,321438,122.356770,42.935105
内蒙古自治区,通辽市,开鲁县,313364,121.319216,43.601446
内蒙古自治区,通辽市,库伦旗,151133,121.810629,42.735556
内蒙古自治区,通辽市,奈曼旗,375312,120.657813,42.867433
内蒙古自治区,通辽市,扎鲁特旗,251806,120.917953,44.567093
内蒙古自治区,通辽市,霍林郭勒市,138676,119.681242,45.533598
内蒙古自治区,鄂尔多斯市,东胜区,574242,109.963403,39.823066
内蒙古自治区,鄂尔多斯市,康巴什区,118796,109.858586,39.607930
内蒙古自治区,鄂尔多斯市,达拉特旗,328593,110.034133,40.412766
内蒙古自治区,鄂尔多斯市,准格尔旗,359184,111.239436,39.864923
内蒙古自治区,鄂尔多斯市,鄂托克前旗,92724,107.477330,38.182402
内蒙古自治区,鄂尔多斯市,鄂托克旗,162726,107.975948,39.089549
内蒙古自治区,鄂尔多斯市,杭锦旗,110824,108.736011,39.833243
内蒙古自治区,鄂尔多斯市,乌审旗,158566,108.819485,38.604530
内蒙古自治区,鄂尔多斯市,伊金霍洛旗,247983,109.747435,39.565064
内蒙古自治区,呼伦贝尔市,海拉尔区,365012,119.824542,49.234715
内蒙古自治区,呼伦贝尔市,扎赉诺尔区,84424,117.669939,49.511213
内蒙古自治区,呼伦贝尔市,阿荣旗,257815,123.458943,48.126553
内蒙古自治区,呼伦贝尔市,莫力达瓦达斡尔族自治旗,228822,124.519023,48.477728
内蒙古自治区,呼伦贝尔市,鄂伦春自治旗,174023,123.725643,50.591604
黑龙江省,大兴安岭地区,加格达奇区,137105,124.139742,50.408822
黑龙江省,大兴安岭地区,松岭区,15996,124.117860,50.411290
黑龙江省,大兴安岭地区,新林区,20362,124.117860,50.411290
黑龙江省,大兴安岭地区,呼中区,16359,123.581431,52.037471
内蒙古自治区,呼伦贝尔市,鄂伦春自治旗（含松岭区、新林区、呼中区、加格达奇区）,363845,123.725643,50.591604
内蒙古自治区,呼伦贝尔市,鄂温克族自治旗,141102,119.755253,49.146692
内蒙古自治区,呼伦贝尔市,陈巴尔虎旗,50556,119.424026,49.328916
内蒙古自治区,呼伦贝尔市,新巴尔虎左旗,37007,118.269782,48.218270
内蒙古自治区,呼伦贝尔市,新巴尔虎右旗,38358,116.823700,48.671865
内蒙古自治区,呼伦贝尔市,满洲里市,150508,117.379134,49.598620
内蒙古自治区,呼伦贝尔市,牙克石市,256396,120.711639,49.285947
内蒙古自治区,呼伦贝尔市,扎兰屯市,318933,122.708475,48.028396
内蒙古自治区,呼伦贝尔市,额尔古纳市,68482,120.180506,50.243102
内蒙古自治区,呼伦贝尔市,根河市,71437,121.520165,50.779758
内蒙古自治区,巴彦淖尔市,临河区,582206,107.363536,40.750969
内蒙古自治区,巴彦淖尔市,五原县,224809,108.267466,41.088446
内蒙古自治区,巴彦淖尔市,磴口县,90196,107.008288,40.330534
内蒙古自治区,巴彦淖尔市,乌拉特前旗,257826,108.652114,40.737018
内蒙古自治区,巴彦淖尔市,乌拉特中旗,112159,108.513653,41.588130
内蒙古自治区,巴彦淖尔市,乌拉特后旗,53946,107.074748,41.084120
内蒙古自治区,巴彦淖尔市,杭锦后旗,217573,107.151296,40.886596
